epoch,train/box_loss,train/obj_loss,train/cls_loss,train/aux_or_rank_loss,TP,FP,FN,F1,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,val/rank_loss,x/lr0,x/lr1,x/lr2,MR_all,MR_day,MR_night,MR_near,MR_medium,MR_far,MR_none,MR_partial,MR_heavy,Recall_all
0,0.0225511,0.00969203,0,0.0189021,2420,917,970,0.719445,0.725183,0.713796,0.725762,0.337139,0.0191226,0.0098028,0,0,0.000499868,0.000499868,0.000501184,0.0817075,0.0899669,0.0500153,0.00925901,0.155504,0.488897,0.259807,0.279595,0.513832,0.982131
1,0.0225409,0.00968034,0,0.022664,2338,897,1052,0.705809,0.722719,0.689671,0.697313,0.330263,0.0193387,0.0112654,0,0,0.0004,0.0004,0.0004,0.0778817,0.08428,0.0590072,0.00771348,0.159848,0.558475,0.279741,0.285482,0.510902,0.980055
2,0.0224234,0.00958293,0,0.0242884,2369,836,1021,0.718439,0.739192,0.69882,0.717859,0.347485,0.0191515,0.0107773,0,0,0.0004,0.0004,0.0004,0.0688991,0.0736798,0.0483575,0.0078967,0.141512,0.509104,0.257253,0.260701,0.499604,0.984182
