epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,18402.9,1.20556,0.6821,1.07695,0.69195,0.66165,0.69675,0.32972,1.65906,1.52612,1.16815,0.00643101,0.00643101,0.00643101
43,18842.6,1.20334,0.67609,1.07779,0.68986,0.64484,0.69239,0.325,1.67007,1.5608,1.18303,0.00628101,0.00628101,0.00628101
44,19282.6,1.20072,0.66813,1.07498,0.7121,0.63038,0.69834,0.32891,1.65707,1.58978,1.17377,0.00612981,0.00612981,0.00612981
45,19723.4,1.19396,0.66309,1.07514,0.68895,0.6531,0.70002,0.32954,1.65636,1.46674,1.17891,0.00597754,0.00597754,0.00597754
46,20162.9,1.19217,0.65476,1.07075,0.68315,0.64897,0.69428,0.32725,1.65993,1.553,1.17458,0.00582435,0.00582435,0.00582435
47,20601.8,1.17788,0.65523,1.06457,0.69997,0.64366,0.69388,0.32662,1.66941,1.64643,1.17533,0.0056704,0.0056704,0.0056704
48,21041.2,1.17738,0.64828,1.06349,0.68929,0.63674,0.68697,0.32604,1.66652,1.6496,1.19175,0.00551584,0.00551584,0.00551584
49,21479.6,1.17588,0.64765,1.06007,0.67132,0.65074,0.68454,0.32414,1.65389,1.59424,1.17028,0.00536081,0.00536081,0.00536081
50,21917.8,1.17178,0.6424,1.06296,0.66714,0.64917,0.68249,0.32413,1.6541,1.63314,1.18644,0.00520548,0.00520548,0.00520548
51,22355.2,1.16967,0.63799,1.05983,0.69517,0.65575,0.69739,0.32847,1.67899,1.5505,1.18534,0.00505,0.00505,0.00505
52,22792.1,1.1625,0.63907,1.0542,0.68322,0.64071,0.68454,0.32489,1.66468,1.55326,1.1814,0.00489452,0.00489452,0.00489452
53,23228.2,1.15586,0.63069,1.05209,0.69193,0.64926,0.69934,0.33467,1.65439,1.54515,1.17574,0.00473919,0.00473919,0.00473919
54,23666,1.1556,0.63134,1.05342,0.67825,0.64358,0.6928,0.32709,1.66519,1.56237,1.18368,0.00458416,0.00458416,0.00458416
55,24103.9,1.14117,0.62265,1.04599,0.67493,0.641,0.68642,0.32321,1.64671,1.55947,1.17284,0.0044296,0.0044296,0.0044296
56,24541.7,1.14068,0.61976,1.04598,0.69219,0.65988,0.69809,0.32644,1.67121,1.51004,1.17906,0.00427565,0.00427565,0.00427565
57,24978.9,1.1224,0.61094,1.03976,0.69608,0.64779,0.69091,0.32848,1.65032,1.56776,1.17638,0.00412246,0.00412246,0.00412246
58,25417.4,1.13136,0.61116,1.04201,0.69846,0.64638,0.69558,0.32803,1.65382,1.53677,1.18286,0.00397019,0.00397019,0.00397019
59,25855,1.13194,0.60395,1.04463,0.68356,0.64661,0.69399,0.32973,1.66616,1.57183,1.18567,0.00381899,0.00381899,0.00381899
60,26292.9,1.12039,0.59574,1.03896,0.69324,0.63863,0.68621,0.32757,1.664,1.62835,1.1896,0.00366899,0.00366899,0.00366899
61,26730,1.10632,0.59739,1.03162,0.70023,0.63628,0.68843,0.3269,1.67906,1.58691,1.19588,0.00352037,0.00352037,0.00352037
62,27168.1,1.11405,0.59291,1.03782,0.6993,0.63658,0.69002,0.32805,1.66795,1.58521,1.19174,0.00337325,0.00337325,0.00337325
63,27605.8,1.10733,0.59319,1.03384,0.69782,0.63419,0.6886,0.3264,1.67405,1.56135,1.18777,0.00322778,0.00322778,0.00322778
64,28042.4,1.09985,0.58891,1.02672,0.69174,0.64541,0.6907,0.32498,1.68782,1.56559,1.19364,0.00308412,0.00308412,0.00308412
65,400.848,1.0888,0.5819,1.0267,0.68801,0.63481,0.68959,0.32544,1.67969,1.56939,1.1953,0.00294239,0.00294239,0.00294239
66,863.888,1.09328,0.57866,1.02404,0.67488,0.64985,0.6925,0.32939,1.67052,1.54818,1.19431,0.00280275,0.00280275,0.00280275
67,1330.66,1.08853,0.57784,1.02248,0.68777,0.6472,0.69423,0.33142,1.6665,1.53999,1.19282,0.00266532,0.00266532,0.00266532
68,1795.77,1.08141,0.57382,1.01887,0.68739,0.64336,0.68981,0.3306,1.66957,1.55911,1.18689,0.00253024,0.00253024,0.00253024
