epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,18793.6,1.23243,0.73599,1.05437,0.62875,0.55103,0.57694,0.24786,1.85913,2.24623,1.24646,0.00643101,0.00643101,0.00643101
43,19241.9,1.23853,0.73507,1.05361,0.64461,0.55484,0.58862,0.25528,1.87169,2.35375,1.2498,0.00628101,0.00628101,0.00628101
44,19690.5,1.23673,0.72902,1.05102,0.6787,0.53009,0.5832,0.2568,1.86246,2.46892,1.2412,0.00612981,0.00612981,0.00612981
45,20137.8,1.2219,0.71468,1.05058,0.67268,0.5354,0.583,0.25431,1.86361,2.28249,1.25091,0.00597754,0.00597754,0.00597754
46,20584.9,1.22194,0.71436,1.04566,0.65871,0.5354,0.58188,0.24979,1.8794,2.27944,1.25861,0.00582435,0.00582435,0.00582435
47,21032.3,1.21001,0.70575,1.04343,0.67087,0.54572,0.59016,0.25292,1.88385,2.1956,1.25661,0.0056704,0.0056704,0.0056704
48,21478.6,1.20788,0.70325,1.04174,0.68816,0.54867,0.60139,0.25948,1.88496,2.24215,1.25958,0.00551584,0.00551584,0.00551584
49,21924.5,1.21155,0.70049,1.03894,0.6607,0.54972,0.58387,0.25548,1.86193,2.20804,1.2348,0.00536081,0.00536081,0.00536081
50,22368.9,1.19764,0.69137,1.04058,0.65707,0.55339,0.58603,0.25517,1.89093,2.24872,1.25987,0.00520548,0.00520548,0.00520548
51,22813.1,1.19458,0.68331,1.03391,0.66301,0.55457,0.59181,0.25753,1.87936,2.24999,1.2519,0.00505,0.00505,0.00505
52,23258,1.18965,0.68873,1.03207,0.68778,0.54513,0.59649,0.26001,1.87818,2.19475,1.25039,0.00489452,0.00489452,0.00489452
53,23704.2,1.18469,0.67058,1.02746,0.69194,0.54572,0.5973,0.26249,1.88571,2.37212,1.26151,0.00473919,0.00473919,0.00473919
54,24149.4,1.18494,0.67243,1.02927,0.67741,0.54897,0.59339,0.26091,1.87477,2.27058,1.25253,0.00458416,0.00458416,0.00458416
55,24594.5,1.16585,0.66153,1.02251,0.69337,0.53451,0.59267,0.25961,1.87492,2.29612,1.24621,0.0044296,0.0044296,0.0044296
56,25039.9,1.16837,0.66455,1.02353,0.68278,0.54366,0.59234,0.25874,1.86964,2.27775,1.23836,0.00427565,0.00427565,0.00427565
57,25486.1,1.15525,0.65134,1.01873,0.65994,0.55103,0.59315,0.26298,1.84367,2.35841,1.2296,0.00412246,0.00412246,0.00412246
58,25931.6,1.16367,0.65447,1.02473,0.68443,0.54336,0.59322,0.26157,1.8698,2.26839,1.25982,0.00397019,0.00397019,0.00397019
59,26377.4,1.15759,0.65097,1.01927,0.68157,0.53794,0.58789,0.25766,1.87202,2.27686,1.25205,0.00381899,0.00381899,0.00381899
60,26823.1,1.14445,0.6393,1.01263,0.65682,0.55192,0.57831,0.2558,1.85897,2.36495,1.24818,0.00366899,0.00366899,0.00366899
61,27268.8,1.13728,0.63917,1.01017,0.64991,0.55988,0.58615,0.25701,1.87103,2.40707,1.24819,0.00352037,0.00352037,0.00352037
62,27713.3,1.13849,0.63407,1.01019,0.66709,0.53569,0.58232,0.25676,1.85438,2.35857,1.23956,0.00337325,0.00337325,0.00337325
63,28282.7,1.13731,0.63223,1.01272,0.67452,0.53063,0.58168,0.25718,1.84596,2.31148,1.22775,0.00322778,0.00322778,0.00322778
64,448.324,1.12356,0.62578,1.00753,0.65905,0.5292,0.56869,0.2517,1.86709,2.37452,1.24114,0.00308412,0.00308412,0.00308412
65,918.259,1.12636,0.61977,1.00432,0.68007,0.54616,0.5873,0.26105,1.86489,2.35451,1.2356,0.00294239,0.00294239,0.00294239
66,1389.29,1.12043,0.61931,1.0035,0.68396,0.54327,0.59118,0.26357,1.85,2.35798,1.23096,0.00280275,0.00280275,0.00280275
67,1857.88,1.11199,0.61327,0.99915,0.66593,0.53215,0.5834,0.26115,1.85786,2.40926,1.24417,0.00266532,0.00266532,0.00266532
68,2328.48,1.10716,0.60666,0.99913,0.69483,0.52183,0.58464,0.26191,1.85745,2.38286,1.24665,0.00253024,0.00253024,0.00253024
69,2790.47,1.0964,0.60328,0.99755,0.66041,0.5528,0.58587,0.26172,1.86259,2.34904,1.24863,0.00239766,0.00239766,0.00239766
70,3268.05,1.09643,0.59841,0.99416,0.67296,0.54366,0.58783,0.26152,1.87378,2.35897,1.25823,0.00226769,0.00226769,0.00226769
71,3737.37,1.09822,0.59611,0.99486,0.67512,0.54802,0.58481,0.26006,1.86409,2.3967,1.2564,0.00214046,0.00214046,0.00214046
72,4212.77,1.0925,0.59624,0.99377,0.6749,0.55457,0.59311,0.26337,1.86317,2.33738,1.254,0.00201611,0.00201611,0.00201611
73,4685.09,1.07594,0.58565,0.98843,0.68156,0.53894,0.58921,0.26344,1.85651,2.35266,1.25114,0.00189475,0.00189475,0.00189475
74,5156.55,1.08091,0.58531,0.98907,0.67583,0.53872,0.58987,0.26303,1.85276,2.35647,1.24965,0.00177651,0.00177651,0.00177651
75,5625.3,1.07042,0.58224,0.98694,0.66412,0.53717,0.58441,0.25961,1.854,2.36322,1.24593,0.00166149,0.00166149,0.00166149
76,6092.86,1.0708,0.5824,0.98445,0.66322,0.53687,0.57874,0.25819,1.86052,2.41847,1.24815,0.00154982,0.00154982,0.00154982
77,6564.08,1.07223,0.58438,0.98674,0.65813,0.53721,0.57637,0.25597,1.86081,2.39861,1.24655,0.00144161,0.00144161,0.00144161
78,7019.78,1.06822,0.57631,0.98227,0.65825,0.53363,0.57532,0.25777,1.8647,2.39744,1.24882,0.00133695,0.00133695,0.00133695
79,7467.81,1.05814,0.56838,0.98029,0.66244,0.541,0.58426,0.25976,1.86213,2.40238,1.24727,0.00123596,0.00123596,0.00123596
80,7933.99,1.0507,0.56436,0.97731,0.67016,0.54041,0.58476,0.26154,1.85742,2.37429,1.24533,0.00113873,0.00113873,0.00113873
81,8413.48,1.04767,0.56454,0.97881,0.65647,0.53864,0.58171,0.26127,1.85838,2.39357,1.24879,0.00104537,0.00104537,0.00104537
82,8867.54,1.04976,0.56443,0.97725,0.65376,0.54071,0.58047,0.26097,1.85807,2.40443,1.24884,0.000955951,0.000955951,0.000955951
83,9309.12,1.04315,0.55807,0.97283,0.65466,0.54189,0.57923,0.26092,1.8637,2.39072,1.25352,0.000870577,0.000870577,0.000870577
84,9754.37,1.0422,0.56028,0.97347,0.66344,0.53717,0.58411,0.26106,1.8691,2.38905,1.25694,0.000789327,0.000789327,0.000789327
85,10208.5,1.0388,0.55528,0.97369,0.6658,0.53451,0.58319,0.26089,1.86892,2.41799,1.25493,0.000712282,0.000712282,0.000712282
86,10684,1.04238,0.55192,0.97259,0.66161,0.53864,0.58118,0.26052,1.86513,2.42834,1.2521,0.000639518,0.000639518,0.000639518
87,11163,1.03184,0.551,0.97182,0.65324,0.54071,0.58124,0.26182,1.86005,2.41764,1.24918,0.000571106,0.000571106,0.000571106
88,11630.9,1.03076,0.54932,0.97163,0.64781,0.54071,0.58022,0.26088,1.85823,2.43099,1.25,0.000507115,0.000507115,0.000507115
89,12064.9,1.02263,0.5458,0.9681,0.65134,0.53894,0.57885,0.26036,1.85971,2.43578,1.25165,0.000447606,0.000447606,0.000447606
