epoch,train/box_loss,train/obj_loss,train/cls_loss,train/aux_or_rank_loss,TP,FP,FN,F1,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,val/rank_loss,x/lr0,x/lr1,x/lr2,MR_all,MR_day,MR_night,MR_near,MR_medium,MR_far,MR_none,MR_partial,MR_heavy,Recall_all
0,0.0416214,0.0203346,0,0,5661,848,2307,0.782039,0.869712,0.710423,0.763189,0.316432,0.0412316,0.0202985,0,0,1e-05,1e-05,1e-05,0,0,0,0,0,0,0,0,0,0
1,0.0410802,0.0197027,0,0,5716,777,2252,0.790578,0.880341,0.717426,0.774668,0.322334,0.0405826,0.0196462,0,0,1e-05,1e-05,1e-05,0,0,0,0,0,0,0,0,0,0
2,0.0405685,0.019235,0,0,5781,760,2187,0.796924,0.883818,0.725587,0.782968,0.325709,0.0401937,0.0192231,0,0,8e-06,8e-06,8e-06,0,0,0,0,0,0,0,0,0,0
