epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,17508,1.13424,0.61013,1.01163,0.00693,0.01298,0.00279,0.00083,2.87484,32.9609,1.93962,0.005842,0.005842,0.005842
44,18001.7,1.13119,0.61172,1.0136,0.00698,0.01062,0.00228,0.00064,2.94417,33.0756,1.96546,0.005743,0.005743,0.005743
45,18511.2,1.12895,0.60469,1.01267,0.007,0.01091,0.00188,0.00055,2.89786,32.4647,1.92876,0.005644,0.005644,0.005644
46,19010.1,1.12748,0.60293,1.00814,0.00685,0.01003,0.00221,0.00061,2.89684,32.5835,1.95423,0.005545,0.005545,0.005545
47,19497.9,1.11719,0.59864,1.00438,0.00833,0.0118,0.00274,0.00077,2.9555,31.8539,1.96629,0.005446,0.005446,0.005446
48,20007,1.1162,0.5974,1.00673,0.00732,0.0115,0.0029,0.00087,2.8967,31.6246,1.9662,0.005347,0.005347,0.005347
49,20478.2,1.11644,0.59688,1.00811,0.00758,0.0115,0.0025,0.00075,2.90332,33.1971,1.90176,0.005248,0.005248,0.005248
50,20981.8,1.10955,0.59134,1.0037,0.00751,0.01091,0.00202,0.00057,2.92971,33.3905,1.90086,0.005149,0.005149,0.005149
51,21485.6,1.10634,0.58569,1.00185,0.0078,0.01327,0.00302,0.0009,2.89458,33.9797,1.91754,0.00505,0.00505,0.00505
52,22000.6,1.10425,0.58567,0.99797,0.00694,0.01062,0.00292,0.00079,2.88202,32.6766,1.92756,0.004951,0.004951,0.004951
53,22493.5,1.10628,0.58547,1.00269,0.00814,0.0118,0.00294,0.00084,2.87243,33.4419,1.93946,0.004852,0.004852,0.004852
54,23033.4,1.09023,0.58189,0.9979,0.0079,0.01121,0.00278,0.00077,2.84588,33.8034,1.88772,0.004753,0.004753,0.004753
55,23558.6,1.09052,0.57394,0.99694,0.00768,0.01062,0.00267,0.00079,2.91577,34.1041,1.91532,0.004654,0.004654,0.004654
56,24086.9,1.08367,0.57121,0.99282,0.00757,0.01091,0.00285,0.0008,2.89945,34.1719,1.92469,0.004555,0.004555,0.004555
57,24605.8,1.08252,0.57111,0.99176,0.00755,0.01091,0.00278,0.00091,2.89788,34.4596,1.9221,0.004456,0.004456,0.004456
58,25103.5,1.07785,0.56771,0.9894,0.00835,0.01121,0.00254,0.00077,2.85505,34.9153,1.91243,0.004357,0.004357,0.004357
59,25596.7,1.08425,0.56719,0.98946,0.00707,0.01003,0.00245,0.00076,2.9096,34.0291,1.92371,0.004258,0.004258,0.004258
